(1-15)|1|30673023
(10:19)|1|28588001
(10:29)|1|24619001
(10:33)|1|25398001
(10:38)|2|25403001 25404001
(10:5)|5|23424001 25370001 25371001 25372001 30140001
(11:1)|1|26526001
(11:17)|3|26542001 26543001 30191001
(11:20)|1|24662001
(11:22)|2|27331001 27332001
(11:29)|2|26554001 26555001
(11:5)|2|25412001 28216001
(11:50)|1|25457001
(11:8)|1|30882001
(12-18)|1|30910001
(12-37b)|1|24711039
(12:12)|1|30226001
(12:2)|2|29026001 29027001
(12:23)|1|26605001
(12:3)|1|23494001
(12:35)|1|25496001
(12:42)|2|25503001 25504001
(12:57)|1|25518001
(13-1)|1|30910017
(13-12b)|1|29057001
(13-13)|1|29058001
(13:20)|1|30263001
(13:32)|2|25552001 27396001
(13:36)|1|27400001
(13:38)|1|27402001
(13:4)|1|27368001
(13:40)|1|27404001
(13:6)|2|27370001 27371001
(14:1)|1|24757001
(14:12)|1|30940001
(14:16)|1|26686001
(14:35)|1|24791001
(14:66)|1|24822001
(15:10)|1|27454001
(15:15)|1|28735001
(15:17)|1|27461001
(15:19)|1|27463001
(15:24)|1|24852001
(15:40)|1|24868001
(15:42)|1|24870001
(15:5)|1|23640001
(15:53)|1|28773001
(16:15)|1|30971001
(16:3)|1|24878001
(17:1)|1|26762001
(17:19)|2|27544001 27545001
(17:20)|1|25673001
(17:22)|1|27547001
(17:6)|1|27531001
(18-38b)|1|26824014
(18:1)|2|27560001 27561001
(18:11)|2|23740001 23741001
(18:16)|1|25706001
(18:18)|1|27577001
(18:2)|1|26789001
(19-16b)|1|26842021
(19:13)|1|27600001
(19:2)|1|26829001
(19:35)|1|27622001
(1:1)|13|23147001 24896001 24897001 26926001 26927001 29060001 29699001 29812001 29895001 29896001 29897001 30377001 30700001
(1:10)|1|30278001
(1:11)|4|29219001 29478001 29479001 29976001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|29711001
(1:14)|1|27946001
(1:15)|3|29074001 29378001 29379001
(1:17)|2|30498001 30691001
(1:19)|1|27951001
(1:2)|1|27934001
(1:21)|4|26946001 28386001 29384001 29385001
(1:23)|1|30291001
(1:24)|2|24919001 26949001
(1:26)|1|29493001
(1:27)|1|29390001
(1:32)|1|26078001
(1:39)|1|24934001
(1:4)|3|24221001 24222001 26929001
(1:43)|1|26089001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:72)|1|24967001
(1:78)|1|24973001
(1:8)|1|29948001
(1:9)|2|29372001 29820001
(20:11)|1|27639001
(20:2)|1|31042001
(20:26)|2|27654001 27655001
(20:35)|1|25816001
(20:5)|2|27633001 31045001
(21:16)|1|25844001
(21:27)|2|27693001 27694001
(21:35)|1|27701001
(23:12)|1|27748001
(23:17)|1|25954001
(23:44)|1|25981001
(23:50)|1|25987001
(23:6)|2|27742001 27743001
(24:2)|1|27773001
(25:6)|1|27804001
(26:10)|1|27835001
(26:6)|2|27831001 27832001
(27:14)|1|27871001
(27:36)|1|27893001
(28:5)|1|27906001
(2:1)|2|24976001 26952001
(2:15)|2|28841001 30517001
(2:16)|1|29679001
(2:17)|1|29410001
(2:19)|3|26970001 26971001 30314001
(2:20)|1|29849001
(2:25)|2|24287001 25000001
(2:26)|1|30745001
(2:36)|1|25011001
(2:4)|2|24979001 29235001
(2:43)|1|25018001
(2:8)|1|29239001
(2:9)|2|24271001 29727001
(3:1)|2|25028001 29593001
(3:12)|1|29435001
(3:14)|2|29747001 30335001
(3:16)|3|24306001 24307001 24308001
(3:18)|1|29271001
(3:19)|1|25046001
(3:21)|1|28433001
(3:23)|2|26145001 29542001
(3:24)|1|29128001
(3:25)|1|28018001
(3:5)|3|29428001 30529001 30530001
(3:7)|3|24297001 29430001 29599001
(3:9)|3|29528001 30006001 30330001
(4:1)|2|26159001 29873001
(4:13)|1|29287001
(4:15)|2|29620001 29621001
(4:17)|1|26175001
(4:25)|1|25090001
(4:34)|1|27058001
(4:37)|1|24362001
(4:4)|1|29137001
(4:6)|2|26164001 26165001
(5:1)|5|30357001 30358001 30359001 30360001 30361001
(5:18)|1|25127001
(5:2)|4|24368001 24369001 24370001 24371001
(5:23)|2|25132001 29646001
(5:27)|2|24393001 24394001
(5:3)|2|29768001 29769001
(5:37)|1|25146001
(5:4)|2|29627001 29628001
(5:7)|1|24373001
(5:8)|2|25117001 25118001
(6-6b)|1|24413045
(6:1)|3|26260001 26261001 26262001
(6:13)|4|29803001 30059001 30060001 30061001
(6:17)|1|24426001
